"treeID"	"discID"	"height_m"	"areaHWLogyard_cm2"	"areaUBLogyard_cm2"	"incompleteAreaUBLogyard"	"airDryDensity_kgpm3"	"nbRings"	"nbRingsHW"	"ringWidth_mm"	"imageNameLogyard"	"pixelWidthLogyard_mm"	"pithX_pixel"	"pithY_pixel"
"B09"	"B09a"	0	1450.33232632247	2162.01046658171	0	559.947312894292	53	38.75	5.60714257741057	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B09a.jpeg"	0.196566069394113	1264.667	1911
"B09"	"B09b"	4	944.829406788072	1488.70441734533	0	573.711941318205	45	28.75	5.27042231481911	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B09b.jpeg"	0.201063707437829	1666.667	2063.667
"B09"	"B09c"	8	797.787937624882	1341.4061722551	0	538.579605706952	40	25	5.27381405646687	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B09c.jpeg"	0.180946611340431	1132.667	2099
"B09"	"B09d"	12	631.803260235312	1157.57855602414	0	556.129407053892	36	21	5.43495724523415	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B09d.jpeg"	0.172768743508214	1331.333	2065
"B10"	"B10a"	0	991.669887337614	1902.13849739219	1	645.949378164159	53	36.5	4.8974941518249	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B10a.jpeg"	0.203089395890283	1128	2001
"B10"	"B10b"	4	560.588610170305	1061.84958003163	0	584.780346691369	45	27.25	4.40754403511542	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B10b.jpeg"	0.167958378570123	1546	2052.333
"B10"	"B10c"	8	483.151440020641	928.676018044006	0	566.198163734508	40	23.5	4.67022715336872	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B10c.jpeg"	0.148192408280755	1472	2235
"B10"	"B10d"	12	447.812177892802	781.482815064101	0	562.948562907485	35	19.5	4.87925193584728	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B10d.jpeg"	0.116018163803725	1436.667	2603.333
"B11"	"B11a"	0	1487.14410807331	2123.98853013029	1	591.218708778896	51	37	5.58042085156871	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B11a.jpeg"	0.214956131752632	1115.333	2204
"B11"	"B11b"	4	991.771688846265	1440.172465641	0	580.59292118854	44	31.75	5.3977421937234	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B11b.jpeg"	0.19815918047704	1266	2267.333
"B11"	"B11c"	8	893.33809386204	1307.26981637234	0	535.039209287468	40	28.75	5.50997863651428	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B11c.jpeg"	0.204557542036575	1126.333	1707.667
"B11"	"B11d"	12	636.040162554484	1065.72053644773	0	508.537708250351	35	22.5	5.76146301101959	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B11d.jpeg"	0.180749328877742	1540.333	2041.667
"B12"	"B12a"	0	1183.84639522973	1998.72704738493	0	602.426547391649	53	39.75	5.34300517867595	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B12a.jpeg"	0.207155310136358	1252.333	2193.667
"B12"	"B12b"	4	749.942585082041	1310.54062725218	0	566.157057083574	48	32	4.57788844148757	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B12b.jpeg"	0.168682990681952	1223.667	2141
"B12"	"B12c"	8	703.151497338431	1260.55532376855	0	616.272181361111	44	27.5	4.68418423930277	"TreeTrace_Douglas/logs_and_discs/color_images/discs/B12c.jpeg"	0.181381941758984	1516.333	2122.333
