idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;1014;393;1074;400;1072;464;1009;457
1;1072;464;1136;470;1134;536;1070;529
2;948;453;1009;457;1006;523;945;515
3;1006;523;1070;529;1068;594;1004;588
4;1068;594;1131;601;1126;663;1067;657
5;943;584;1004;588;999;651;940;645
6;1134;536;1198;542;1194;607;1131;601
7;1200;476;1264;482;1260;548;1198;542
8;1194;607;1258;613;1253;676;1194;669
9;1260;548;1324;554;1320;619;1258;613
10;1327;488;1390;494;1387;560;1324;554
11;1320;619;1384;625;1379;688;1320;682
12;1387;560;1450;566;1447;632;1384;625
13;1454;500;1518;507;1514;572;1450;566
14;1447;632;1510;638;1504;701;1445;694
15;1514;572;1576;579;1573;644;1510;638
16;1580;513;1644;519;1640;584;1576;579
17;1573;644;1636;650;1629;713;1571;706
18;1640;584;1702;591;1698;656;1636;650
19;1707;526;1770;531;1765;598;1702;591
20;1698;656;1760;662;1754;725;1695;718
21;1765;598;1828;603;1822;668;1760;662
22;1832;538;1894;544;1890;610;1828;603
23;1822;668;1884;674;1877;737;1819;730
24;1890;610;1952;615;1946;680;1884;674
25;1957;550;2020;556;2014;621;1952;615
26;1946;680;2008;686;2000;748;1942;742
27;2014;621;2075;627;2069;692;2008;686
28;2082;562;2144;567;2137;632;2075;627
29;2069;692;2130;697;2122;760;2065;754
30;2137;632;2198;638;2192;704;2130;697
31;2206;574;2268;579;2260;644;2198;638
32;2192;704;2254;709;2244;771;2186;765
33;2260;644;2322;650;2314;714;2254;709
34;2330;585;2392;591;2384;656;2322;650
35;2314;714;2376;720;2366;782;2309;776
36;2384;656;2445;661;2436;726;2376;720
37;2453;596;2513;604;2504;665;2445;661
38;2436;726;2495;733;2487;793;2430;787
39;2402;527;2460;533;2453;596;2392;591
40;2277;515;2335;522;2330;585;2268;579
41;2152;504;2211;510;2206;574;2144;567
42;2028;492;2086;498;2082;562;2020;556
43;1903;480;1961;486;1957;550;1894;544
44;1777;467;1836;474;1832;538;1770;531
45;1650;455;1710;462;1707;526;1644;519
46;1524;443;1583;449;1580;513;1518;507
47;1396;430;1456;437;1454;500;1390;494
48;1269;418;1329;424;1327;488;1264;482
49;1142;405;1201;412;1200;476;1136;470
