nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/C13d.jpeg;Oui;0;25;78.74;81;0;80;11.1168;40;80.35;81;77;79;0.769615
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D01a.jpeg;Oui;0;25;35.44;36;0;35;4.85361;40;36.125;36;34;35;0.334932
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D01b.jpeg;Oui;0;25;30.48;31;0;30;4.14158;40;31.05;31;28;30;0.316228
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D01c.jpeg;Oui;0;25;45.18;46;0;46;6.34611;40;46.075;46;42;45;0.916725
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D01d.jpeg;Oui;0;25;55.36;56.5;0;56;7.77689;40;56.45;56.5;53;56;0.875595
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D02a.jpeg;Oui;0;25;36.32;37;0;36;4.95877;40;37;37;35;35;0
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D02b.jpeg;Oui;0;25;47.48;48;0;50;6.86083;40;48.375;48;44;49;1.61225
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D02c.jpeg;Oui;0;25;42.62;43;0;43;5.95524;40;43.425;43;40;43;0.873763
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D02d.jpeg;Oui;0;25;51.68;53;0;53;7.33301;40;52.675;53;48;53;1.24833
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D03a.jpeg;Oui;0;25;27.62;28;0;27;3.74106;40;28.15;28;25;27;0.426675
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D03b.jpeg;Oui;0;25;40.02;41;0;40;5.52357;40;40.725;41;38;40;0.505736
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D03c.jpeg;Oui;0;26;42.7115;42;0;86;10.7125;42;41.7143;42;39;41;0.673024
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D03d.jpeg;Oui;0;25;41.76;42;0;42;5.77313;40;42.475;42;40;41;0.505736
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D04a.jpeg;Oui;0;25;40.14;41;0;41;5.60251;40;40.925;41;37;40;0.828576
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D04b.jpeg;Oui;0;25;47.42;48;0;48;6.63968;40;48.325;48;45;48;0.79703
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D04c.jpeg;Oui;0;25;43.58;44;0;44;6.07467;40;44.425;44;41;44;0.635993
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D04d.jpeg;Oui;0;25;44.58;46;0;44;6.18124;40;45.525;46;43;44;0.505736
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D05a.jpeg;Oui;0;25;35.22;36;0;35;4.86676;40;35.9;36;33;35;0.708918
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D05b.jpeg;Oui;0;25;45.96;47;0;46;6.39502;40;46.9;47;44;46;0.496139
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D05c.jpeg;Oui;0;25;47.58;48;0;49;6.74942;40;48.5;48;44;48;1.1767
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D05d.jpeg;Oui;0;25;49;50;0;49;6.80336;40;50;50;48;48;0
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D06a.jpeg;Oui;0;25;24.54;25;0;24;3.29012;40;24.975;25;22;24;0.276192
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D06b.jpeg;Oui;0;25;51.66;53;0;51;7.18448;40;52.725;53;50;51;0.452203
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D06c.jpeg;Oui;0;25;47;48;0;47;6.53406;40;47.9;48;45;47;0.590523
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D06d.jpeg;Oui;0;25;54.4;55;0;56;7.66386;40;55.475;55;52;55;0.876693
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D07a.jpeg;Oui;0;25;18.52;19;0;17;2.4095;40;18.925;19;16;17;0.266747
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D07b.jpeg;Oui;0;25;48.12;49;0;48;6.6812;40;49.05;49;46;48;0.450071
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D07c.jpeg;Oui;0;25;49.2;50;0;50;6.86012;40;50.1;50;47;49;0.496139
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D07d.jpeg;Oui;0;25;41.44;42;0;42;5.78231;40;42.175;42;39;42;0.812956
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D08a.jpeg;Oui;0;25;35.94;37;0;35;4.92561;40;36.675;37;34;35;0.474342
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D08b.jpeg;Oui;0;25;48.86;50;0;49;6.86015;40;49.875;50;46;49;1.01748
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D08c.jpeg;Oui;0;25;44.42;45;0;44;6.16802;40;45.35;45;42;44;0.622237
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D08d.jpeg;Oui;0;25;55.34;57;0;59;8.39244;40;56.45;57;50;58;2.78227
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D09a.jpeg;Oui;0;25;36.08;37;0;36;4.95218;40;36.725;37;34;35;0.452203
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D09b.jpeg;Oui;0;19;43.1579;44;0;45;6.95362;32;44.1562;44;41;44;0.883883
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D09c.jpeg;Oui;0;25;51.68;53;0;52;7.27153;40;52.725;53;49;52;1.10911
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D09d.jpeg;Oui;0;25;62.68;64;0;66;9.02251;40;63.8;64;59;65;1.81447
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D10a.jpeg;Oui;0;25;42.36;43;0;42;5.85456;40;43.2;43;40;42;0.464095
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/D10b.jpeg;Oui;0;25;38.18;39;0;39;5.34022;40;38.875;39;35;38;0.852974
