idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;1158;564;1202;564;1206;608;1163;607
1;1206;608;1253;610;1256;655;1208;654
2;1252;566;1294;566;1299;610;1253;610
3;1256;655;1302;656;1304;701;1258;700
4;1164;656;1208;654;1212;700;1167;698
5;1212;700;1258;700;1259;743;1216;744
6;1299;610;1344;611;1348;657;1302;656
7;1304;701;1350;702;1351;745;1309;745
8;1348;657;1392;657;1396;702;1350;702
9;1391;612;1436;613;1438;658;1392;657
10;1396;702;1441;703;1442;746;1400;746
11;1438;658;1484;659;1486;704;1441;703
12;1482;614;1526;614;1528;660;1484;659
13;1486;704;1530;705;1531;747;1491;748
14;1528;660;1572;660;1574;705;1530;705
15;1570;615;1614;616;1616;661;1572;660
16;1574;705;1619;706;1620;748;1579;749
17;1616;661;1660;662;1662;706;1619;706
18;1658;617;1702;616;1704;662;1660;662
19;1662;706;1706;707;1707;749;1667;750
20;1704;662;1747;663;1749;707;1706;707
21;1745;618;1788;618;1790;663;1747;663
22;1749;707;1792;708;1793;750;1753;751
23;1790;663;1832;663;1835;708;1792;708
24;1832;618;1874;620;1876;664;1832;663
25;1835;708;1876;708;1878;750;1839;751
26;1876;664;1918;664;1919;710;1876;708
27;1916;620;1959;620;1960;666;1918;664
28;1919;710;1962;709;1962;751;1923;752
29;1960;666;2002;664;2004;708;1962;709
30;2000;621;2042;622;2044;666;2002;664
31;2004;708;2045;710;2044;752;2006;751
32;2044;666;2084;666;2086;710;2045;710
33;2084;622;2124;622;2126;666;2084;666
34;2086;710;2126;710;2125;752;2088;751
35;2126;666;2166;666;2167;710;2126;710
36;2166;623;2206;623;2207;667;2166;666
37;2167;710;2208;710;2206;752;2169;751
38;2207;667;2246;669;2245;709;2208;710
39;2126;580;2164;581;2166;623;2124;622
40;2208;581;2245;582;2244;622;2206;623
41;2044;579;2082;580;2084;622;2042;622
42;1960;577;1998;579;2000;621;1959;620
43;1875;576;1914;578;1916;620;1874;620
44;1788;576;1827;575;1832;618;1788;618
45;1703;573;1743;575;1745;618;1702;616
46;1614;573;1653;572;1658;617;1614;616
47;1525;571;1566;571;1570;615;1526;614
48;1435;570;1476;569;1482;614;1436;613
49;1344;568;1386;568;1391;612;1344;611
