idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;3121;190;3190;191;3188;260;3115;260
1;3188;260;3262;261;3258;332;3184;332
2;3042;260;3115;260;3110;332;3039;332
3;3110;332;3184;332;3181;404;3108;403
4;2966;332;3039;332;3034;404;2963;403
5;2974;192;3043;191;3042;260;2970;262
6;2898;261;2970;262;2966;332;2894;332
7;2831;193;2900;193;2898;261;2826;262
8;2822;334;2894;332;2891;403;2820;404
9;2755;262;2826;262;2822;334;2751;333
10;2891;403;2963;403;2957;473;2888;471
11;2748;403;2820;404;2814;473;2746;471
12;2680;333;2751;333;2748;403;2677;403
13;2613;263;2684;262;2680;333;2610;333
14;2606;404;2677;403;2672;472;2604;471
15;2539;334;2610;333;2606;404;2536;404
16;2465;404;2536;404;2530;472;2463;471
17;2472;264;2542;264;2539;334;2468;334
18;2407;197;2474;197;2472;264;2402;264
19;2547;196;2615;196;2613;263;2542;264
20;2399;334;2468;334;2465;404;2396;404
21;2333;265;2402;264;2399;334;2330;334
22;2326;404;2396;404;2390;472;2325;471
23;2261;334;2330;334;2326;404;2257;404
24;2195;265;2264;265;2261;334;2192;335
25;2189;404;2257;404;2252;471;2187;470
26;2124;334;2192;335;2189;404;2120;403
27;2058;267;2126;264;2124;334;2056;336
28;2053;403;2120;403;2116;471;2051;469
29;1988;335;2056;336;2053;403;1985;403
30;1924;266;1991;266;1988;335;1921;335
31;1918;403;1985;403;1981;470;1916;469
32;1854;334;1921;335;1918;403;1851;403
33;1793;267;1857;266;1854;334;1789;332
34;1787;404;1851;403;1847;470;1784;468
35;1862;200;1926;201;1924;266;1857;266
36;1997;199;2061;200;2058;267;1991;266
37;2132;199;2197;199;2195;265;2126;264
38;2268;198;2335;198;2333;265;2264;265
39;2689;194;2757;194;2755;262;2684;262
40;3034;404;3108;403;3104;471;3035;473
41;3181;404;3254;404;3251;471;3180;473
42;3258;332;3332;333;3328;404;3254;404
43;3335;260;3408;260;3406;332;3332;333
44;3328;404;3402;404;3398;473;3327;474
45;3406;332;3479;333;3476;406;3402;404
46;3483;261;3555;264;3551;333;3479;333
47;3476;406;3547;407;3546;475;3475;475
48;3415;190;3485;191;3483;261;3408;260
49;3266;191;3336;190;3335;260;3262;261
