idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;1591;550;1638;552;1642;606;1586;604
1;1642;606;1698;606;1698;664;1641;662
2;1533;606;1586;604;1585;662;1529;660
3;1585;662;1641;662;1642;720;1586;719
4;1472;660;1529;660;1530;718;1474;718
5;1420;604;1469;606;1472;660;1416;658
6;1530;718;1586;719;1585;772;1535;772
7;1418;716;1474;718;1472;770;1426;770
8;1360;658;1416;658;1418;716;1362;715
9;1309;603;1356;604;1360;658;1304;656
10;1306;713;1362;715;1358;768;1310;765
11;1246;656;1304;656;1306;713;1248;713
12;1191;601;1240;601;1246;656;1196;646
13;1194;716;1248;713;1245;759;1199;762
14;1196;646;1200;645;1203;650;1198;650
15;1642;720;1698;721;1696;774;1647;774
16;1698;664;1754;666;1753;723;1698;721
17;1754;608;1808;608;1808;666;1754;666
18;1753;723;1808;723;1807;776;1757;776
19;1808;666;1864;667;1864;724;1808;723
20;1864;610;1918;610;1918;668;1864;667
21;1864;724;1918;725;1915;779;1866;777
22;1918;668;1973;669;1972;726;1918;725
23;1974;612;2028;612;2028;670;1973;669
24;1972;726;2028;727;2023;780;1975;779
25;2028;670;2082;671;2082;728;2028;727
26;2083;614;2138;614;2136;672;2082;671
27;2082;728;2136;728;2131;782;2083;780
28;2136;672;2190;672;2190;729;2136;728
29;2192;615;2246;616;2244;673;2190;672
30;2190;729;2244;730;2239;783;2191;781
31;2244;673;2298;674;2297;730;2244;730
32;2300;617;2354;618;2352;674;2298;674
33;2297;730;2350;731;2346;784;2298;783
34;2352;674;2406;675;2404;732;2350;731
35;2408;618;2459;622;2456;674;2406;675
36;2404;732;2454;735;2452;786;2405;784
37;2359;563;2407;565;2408;618;2354;618
38;2251;561;2299;563;2300;617;2246;616
39;2142;560;2190;561;2192;615;2138;614
40;2033;558;2081;560;2083;614;2028;612
41;1923;556;1971;558;1974;612;1918;610
42;1813;554;1861;556;1864;610;1808;608
43;1701;553;1750;554;1754;608;1698;606
